tstart	ftime	x0	y0	z0	vx0	vy0	vz0	ax	ay	az
0.087553973	0.355790297	-1.263696921	55	6.15352349	-1.447751209	-116.4780034	0.228106904	11.9799991	26.03499908	-42.31200052
0.085081766	0.340908315	-1.288037535	55	5.998123456	-0.35175502	-119.2644846	0.057450466	-1.312999929	20.45099945	-25.4650004
0.0770595	0.308912247	-1.390984984	55	6.047594543	3.425258821	-131.7033788	-4.957002696	3.404999767	25.23100014	-18.89600015
0.075228311	0.303663618	-1.189275743	55	6.084631981	4.990295016	-135.2442663	-8.548759615	-10.16200014	30.98099823	-14.84700037
0.078193372	0.314183139	-1.337034267	55	5.979021069	5.18169848	-129.9020645	-4.14495112	6.452000175	25.90800018	-21.24900079
0.075433975	0.304790931	-1.175182901	55	5.988997593	3.135802228	-134.9221239	-5.989612485	0.67700008	31.43799896	-11.6440003
0.074839433	0.300044097	-1.055819303	55	6.073093344	2.465334431	-135.6154514	-6.435074289	-7.900000061	26.82000084	-20.40099931
0.077557831	0.31173072	-1.382510411	55	6.037651576	5.337215211	-130.9818404	-5.449429781	6.77899984	26.53399963	-21.54299951
0.082627652	0.332008856	-1.110754155	55	6.077023369	5.014577356	-122.9319194	-4.944484035	-4.789999987	23.21600075	-19.36100031
0.086983632	0.351248478	-1.084654946	55	6.167014436	0.400107278	-116.982604	5.451875736	12.461	23.35699959	-42.37300134
0.086888434	0.349371806	-0.898262106	55	6.166334878	-0.923717453	-116.9328617	2.983091616	14.01699976	21.33500023	-40.58200098
0.07954967	0.317685776	-1.575860845	55	5.854127099	5.44016911	-127.4038196	-0.524362411	2.129000221	21.42999954	-23.83799959
0.075450485	0.303310621	-1.189609842	55	5.992627371	2.775311421	-134.6481741	-5.874369334	-2.664	28.14400024	-15.3070004
0.074909555	0.301838257	-0.98027471	55	6.074991605	3.846782984	-135.7336453	-5.210949912	-2.94099995	30.08100052	-14.97900034
0.07544882	0.302700069	-1.06695489	55	6.15201136	2.992971145	-134.5543922	-4.426721163	-13.914	26.84800072	-24.29800058
0.075219148	0.301002761	-1.163612303	55	6.004020599	6.268030681	-134.8390362	-1.097200229	-11.01900002	25.31599922	-26.27700067
0.087798242	0.354658841	-1.180687133	55	6.07226743	-1.287006617	-115.9112036	2.979964282	10.06399969	23.08699913	-45.14799905
0.077107176	0.30866727	-1.1801296	55	6.044491583	4.930560056	-131.5543808	-2.889185168	5.596000229	24.31400032	-23.77499986
